Aggrigator_id,Category_Code,Channel,Entity_Id,Key
,150600,Cheques,AIRTEL LANDLINE,AIRTEL LANDLINE
,150600,Cheques,BSNL LANDLINE,BSNL LANDLINE
,150700,Cheques,MUNCIPAL CORPN NORTH,MUNCIPAL CORPN NORTH
,150700,Cheques,MUNCIPAL CORPN SOUTH,MUNCIPAL CORPN SOUTH
,150700,Cheques,HI MUNICIPAL CORPORATI,HI MUNICIPAL CORPORATI
,150700,Cheques,MUNCIPAL CORPN EAST,MUNCIPAL CORPN EAST
,150700,Cheques,COMMISSIONER OF MUNCIPAL,COMMISSIONER OF MUNCIPAL
,150700,Cheques,NAVI BAI MUNICIPAL COR,NAVI BAI MUNICIPAL COR
,150700,Cheques,AHMEDABAD MUNICIPAL,AHMEDABAD MUNICIPAL CORP
,150700,Cheques,DELHI JAL BOARD,HI JAL BOARD
,150700,Cheques,DSIIDC,DSIIDC BAWANA
,150700,Cheques,MCGM,MCGM
,150700,Cheques,NDMC,NDMC
,150700,Cheques,SURAT MUNICIPAL CORPORATION,SURAT MUNICIPAL CORPORAT
,150700,Cheques,CONSULATE GENERAL,CONSULATE GENERAL
,150700,Cheques,GUJARAT MINERAL,GUJARAT MINERAL
,150700,Cheques,POST MASTER,POST MASTER
,150700,Cheques,AHMEDABAD MUNICIPAL CORP,AHMEDABAD MUNICIPAL
,150700,Cheques,MCGM,MCGM
,150700,Cheques,SURAT MUNICIPAL CORP,SURAT MUNICIPAL
,150700,Cheques,DELHI JAL BOARD,DELHI JAL BOARD
,150700,Cheques,MUNICIPAL CORPORATION OF GURUGRAM,MUNICIPAL CORPORATION OF GURUGRAM
,150700,Cheques,URBAN IMPROVEMENT TRUST,URBAN IMPROVEMENT TRUST
,150700,Cheques,UIT,UIT
,150700,Cheques,UTTARAKHAND JAL SANSTHAN,UTTARAKHAND JAL SANSTHAN
,160000,Cheques,CORPORATION OF CHENNAI,CORPORATION OF CHENNAI
,171100,Cheques,MURARKA SUITINGS,MURARKA SUITINGS
,171600,Cheques,BRTR COMMUNICATION,BRTR COMMUNICATION
,171600,Cheques,DAIKIN AIRCONDITIONING,DAIKIN AIRCONDITIONING IN
,171600,Cheques,NIRMAN RETAIL HOLDINGS,NIRMAN RETAIL HOLDINGS
,171900,Cheques,GARG ENTERPRISES,GARG ENTERPRISES
,171900,Cheques,SHREE BALAJI ENTERPRISES,SHREE BALAJI ENTERPRISES
,180000,Cheques,M A P M C,M A P M C BAI
,180000,Cheques,NON CUSTOMER INTER BRANC,NON CUSTOMER INTER BRANC
,190000,Cheques,MLWB,MLWB
,190100,Cheques,HERITAGE SCHOOL,THE HERITAGE SCHOOL
,190100,Cheques,PODAR INTERNATIONAL SCHOOL,PODAR INTERNATIONAL SCHOO
,190200,Cheques,FIIT JEE,FIIT JEE
,200000,Cheques,HEERSON,HEERSON
,210200,Cheques,TODAY ROYAL INFRA,TODAY ROYAL INFRA
,220000,Cheques,ALLCARGO LOGISTICS,ALLCARGO LOGISTICS LIMITE
,220000,Cheques,ASSOCIATED ROAD CARRIERS,ASSOCIATED ROAD CARRIERS
,220000,Cheques,AVINASH CARGO,AVINASH CARGO
,220000,Cheques,BLUE DART,BLUE DART EXPRESS
,220000,Cheques,CAC TRANS LOGISTICS,CAC TRANS LOGISTICS
,220000,Cheques,CMA CGM AGECNIES,CMA CGM AGECNIES I LT
,220000,Cheques,DECCAN TRANSCON LEASING,DECCAN TRANSCON LEASING P
,220000,Cheques,DHL EXPRESS,DHL EXPRESS INDIA
,220000,Cheques,DHL EXPRESS,DHL EXPRESS I
,220000,Cheques,FEDEX EXPRESS,FEDEX EXPRESS TRANS SUP
,220000,Cheques,LALJI MULJI TRANSPORT,LALJI MULJI TRANSPORT CO
,220000,Cheques,MAERSK INDIA,MAERSK INDIA G2
,220000,Cheques,MSC AGENCY,MSC AGENCY INDIA
,220000,Cheques,OM LOGISTICS,OM LOGISTICS
,220000,Cheques,PHONEX LOGISTICS,PHONEX LOGISTICS
