RENT,OFFICE RENT,,140100,"['office rent may', 'office aug rent', 'office rent mar', 'office rent dec', 'office mar rent', 'office rent jun', 'office rent jul', 'office sep rent', 'office rents', 'office rent sep', 'office rent apr', 'office rent jan', 'office rent oct', 'office rent', 'office jun rent', 'office may rent', 'office jul rent', 'office rental', 'office oct rent', 'office nov rent', 'office feb rent', 'office rent feb', 'office dec rent', 'office rent nov', 'office jan rent', 'office apr rent', 'office rent aug']"
RENT,CAR RENT,,140200,"['scooty rent', 'scooter rent', 'vehicle rent', 'car rental', 'bike rent', 'car rent','zoomcar']"
RENT,HOUSE RENT,,140300,"['house lease', 'flat rent', 'flat lease', 'home rent', 'owner', 'apartment rent', 'room rent', 'redgfe', 'house rent', 'red girraffe', 'apartment lease', 'landlord']"
RENT,LOCKER RENT,,140400,['locker rent','locker rental']
RENT,POS RENTAL,,140500,['GPRS RENTAL','MPOS RENTAL','PSTN RENTAL','POS AMC GPRS']
UTILITIES,BILLS AND UTILITIES,,150000,"['bill', 'billpay', 'bill payment', 'bill paymnt']"
UTILITIES,CABLE OR SATELLITE SERVICES,,150100,"['cable', 'cable service','siti cable','hathway']"
UTILITIES,DTH AND BROADBAND,,150200,"['tata sky recharge', 'sun tv dth', 'airtel mega', 'dish tv dth', 'airtel broadband', 'videocon dth', 'd2h', 'big tv dth', 'tataskydth', 'actb', 'suntvdth', 'broad band', 'videocndth', 'tatasky dth', 'act broadband', 'act fibernet', 'actbb', 'bigtvdth', 'dth', 'airteldth', 'airtel dth', 'videocon recharge', 'dishtvdth', 'airtel velocity', 'tata sky']"
UTILITIES,ELECTRICITY,,150300,"['pgvcla', 'best mumbai', 'mgvcla', 'ele bill', 'mseb', 'eb', 'hubli electricity supply', 'bijli bill', 'bmse', 'brmo', 'cpdchy', 'bypl', 'chhattisgarh state electricity board', 'jamshedpur utilities and services company limited saraikela', 'uttar gujarat vij', 'bijili', 'mppkvj', 'madhya gujarat vij', 'tata power', 'ugvcla', 'adani electricity mumbai limited', 'mppkvcl indore nonrapddr', 'bses yamuna', 'dgvcla', 'hpsebl', 'electricity bill', 'juscos', 'bijli', 'bces', 'electricty', 'paschim gujarat vij', 'brpl', 'bspd', 'bbmp', 'southern power distribution ap', 'cesc', 'mppkvcl', 'bemu', 'mpsebb', 'power distribution', 'mpseb bhopal', 'dakshin gujarat vij', 'mppkvv', 'btpd', 'torrent power', 'heco', 'tgspdcl', 'btpm', 'bses rajdhani', 'chsteb']"
UTILITIES,GAS AND PIPELINE,,150400,"['gas b', 'mahanagar gas', 'gas', 'gujarat gas limited', 'ggcl', 'bmgl', 'gas bill','indane','bharat gas','indraprastha gas']"
